"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "SCSS", "CSS", "C#", "XML", "comment", "blank", "total"
"g:\InternShipApp\API\Dtos\NoteDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -7, -20
"g:\InternShipApp\API\Dtos\ObjectGroupDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -10
"g:\InternShipApp\API\Dtos\ObjectInternDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -1, -12
"g:\InternShipApp\API\Dtos\PersonDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -20
"g:\InternShipApp\API\Dtos\PostCommentReactionDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -10, -26
"g:\InternShipApp\API\Dtos\PostDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -9, -25
"g:\InternShipApp\API\Dtos\PostViewDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -6, -18
"g:\InternShipApp\API\Dtos\QuestionDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, -14, -35
"g:\InternShipApp\API\Dtos\RankingDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -2, -12
"g:\InternShipApp\API\Dtos\ReceiveAnswersDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -2, -18
"g:\InternShipApp\API\Dtos\SubTaskCheckedDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -7, -20
"g:\InternShipApp\API\Dtos\SubTaskDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -6, -18
"g:\InternShipApp\API\Dtos\TaskDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -12, -30
"g:\InternShipApp\API\Dtos\TaskInternGroupDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -8, -22
"g:\InternShipApp\API\Dtos\TaskSolutionDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -8, -22
"g:\InternShipApp\API\Dtos\TestDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -6, -22
"g:\InternShipApp\API\Dtos\TestGroupInternDto.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -8, -23
"g:\InternShipApp\API\Extensions\ApplicationServiceExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, -1, -45
"g:\InternShipApp\API\Extensions\IdentityServiceExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -2, -32
"g:\InternShipApp\API\FluentMigration\Database.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -34, 0, -16, -6, -56
